Module                  Size  Used by
sha256_ssse3           32768  1
sha256_generic         24576  1 sha256_ssse3
hmac                   16384  1
drbg                   32768  1
ansi_cprng             16384  0
ctr                    16384  3
ccm                    20480  3
arc4                   16384  2
ath9k_htc              65536  0
ath9k_common           32768  1 ath9k_htc
ath9k_hw              434176  2 ath9k_common,ath9k_htc
ath                    28672  3 ath9k_common,ath9k_htc,ath9k_hw
mac80211              643072  1 ath9k_htc
cfg80211              483328  4 ath,ath9k_common,mac80211,ath9k_htc
bnep                   20480  2
nvram                  16384  0
intel_rapl             20480  0
msr                    16384  0
input_leds             16384  0
intel_soc_dts_thermal    16384  0
intel_powerclamp       16384  0
coretemp               16384  0
kvm_intel             180224  0
kvm                   487424  1 kvm_intel
usbhid                 45056  0
joydev                 20480  0
irqbypass              16384  1 kvm
mousedev               20480  0
mac_hid                16384  0
crct10dif_pclmul       16384  0
crc32_pclmul           16384  0
i915                 1142784  1
crc32c_intel           24576  0
ghash_clmulni_intel    16384  0
aesni_intel           167936  6
evdev                  24576  1
snd_soc_sst_bytcr_rt5651    16384  0
iTCO_wdt               16384  0
aes_x86_64             20480  1 aesni_intel
lrw                    16384  1 aesni_intel
iTCO_vendor_support    16384  1 iTCO_wdt
button                 16384  1 i915
gf128mul               16384  1 lrw
drm_kms_helper        106496  1 i915
glue_helper            16384  1 aesni_intel
ablk_helper            16384  1 aesni_intel
cryptd                 20480  3 ghash_clmulni_intel,aesni_intel,ablk_helper
pcspkr                 16384  0
thermal                20480  0
drm                   286720  3 i915,drm_kms_helper
intel_gtt              20480  1 i915
syscopyarea            16384  1 drm_kms_helper
sysfillrect            16384  1 drm_kms_helper
video                  36864  1 i915
sysimgblt              16384  1 drm_kms_helper
dw_dmac                16384  0
tpm_tis                20480  0
fb_sys_fops            16384  1 drm_kms_helper
dw_dmac_core           24576  1 dw_dmac
i2c_algo_bit           16384  1 i915
tpm                    36864  1 tpm_tis
int3403_thermal        16384  0
gslx680_ts_acpi        20480  0
snd_intel_sst_acpi     16384  1
processor_thermal_device    16384  0
int3402_thermal        16384  0
int3400_thermal        16384  0
snd_soc_sst_acpi       16384  1 snd_intel_sst_acpi
int340x_thermal_zone    16384  3 int3402_thermal,processor_thermal_device,int3403_thermal
acpi_thermal_rel       16384  1 int3400_thermal
intel_soc_dts_iosf     16384  2 intel_soc_dts_thermal,processor_thermal_device
snd_intel_sst_core     65536  1 snd_intel_sst_acpi
acpi_pad               20480  0
snd_soc_rt5651         81920  1
snd_soc_sst_mfld_platform    77824  3 snd_intel_sst_core
ac                     16384  0
snd_soc_rl6231         16384  1 snd_soc_rt5651
lpc_ich                24576  0
snd_soc_core          184320  3 snd_soc_rt5651,snd_soc_sst_mfld_platform,snd_soc_sst_bytcr_rt5651
hci_uart               65536  0
snd_compress           20480  1 snd_soc_core
battery                20480  0
snd_pcm_dmaengine      16384  1 snd_soc_core
ac97_bus               16384  1 snd_soc_core
btbcm                  16384  1 hci_uart
snd_pcm                86016  5 snd_soc_rt5651,snd_soc_core,snd_soc_sst_mfld_platform,snd_soc_sst_bytcr_rt5651,snd_pcm_dmaengine
btintel                16384  1 hci_uart
mei_txe                20480  0
spi_pxa2xx_platform    24576  0
snd_timer              28672  1 snd_pcm
mei                    81920  1 mei_txe
bluetooth             454656  10 bnep,btbcm,hci_uart,btintel
snd                    65536  5 snd_soc_core,snd_timer,snd_pcm,snd_soc_sst_mfld_platform,snd_compress
rfkill_gpio            16384  0
i2c_designware_platform    16384  0
soundcore              16384  1 snd
rfkill                 20480  6 cfg80211,bluetooth,rfkill_gpio
processor              32768  0
i2c_designware_core    20480  1 i2c_designware_platform
8250_dw                16384  0
sch_fq_codel           20480  5
nfs                   204800  0
lockd                  90112  1 nfs
grace                  16384  1 lockd
sunrpc                274432  2 nfs,lockd
fscache                61440  1 nfs
ip_tables              28672  0
x_tables               28672  1 ip_tables
ext4                  516096  1
crc16                  16384  2 ext4,bluetooth
mbcache                20480  1 ext4
jbd2                   90112  1 ext4
xhci_pci               16384  0
xhci_hcd              159744  1 xhci_pci
usbcore               196608  4 usbhid,ath9k_htc,xhci_hcd,xhci_pci
usb_common             16384  1 usbcore
serio                  20480  0
sdhci_acpi             16384  0
hid_generic            16384  0
hid                   114688  2 hid_generic,usbhid
sdhci_pci              28672  0
sdhci                  40960  2 sdhci_acpi,sdhci_pci
led_class              16384  3 sdhci,ath9k_htc,input_leds
mmc_block              36864  5
mmc_core              114688  4 mmc_block,sdhci,sdhci_acpi,sdhci_pci
